"","Genes","Re_Set","Re_direction","De_Set","De_direction"
"3","Xele.ptg000001l.3","ReT04","Up-regulated","DeT12","Down-regulated"
"4","Xele.ptg000001l.5","ReT12","Up-regulated","DeT12","Down-regulated"
"6","Xele.ptg000001l.7","ReT08","Up-regulated","DeT72","Down-regulated"
"8","Xele.ptg000001l.9","None","None","DeT06","Down-regulated"
"10","Xele.ptg000001l.12","None","None","DeT12","Down-regulated"
"11","Xele.ptg000001l.14","ReT12","Up-regulated","DeT72","Down-regulated"
"12","Xele.ptg000001l.15","ReT48","Up-regulated","None","None"
"13","Xele.ptg000001l.16","ReT02","Up-regulated","DeT12","Down-regulated"
"14","Xele.ptg000001l.17","ReT04","Down-regulated","DeT03","Up-regulated"
"15","Xele.ptg000001l.18","ReT48","Down-regulated","DeT12","Up-regulated"
"17","Xele.ptg000001l.20","ReT48","Down-regulated","DeT03","Up-regulated"
"18","Xele.ptg000001l.21","None","None","DeT03","Up-regulated"
"22","Xele.ptg000001l.25","ReT02","Down-regulated","DeT03","Up-regulated"
"23","Xele.ptg000001l.26","ReT48","Down-regulated","DeT03","Up-regulated"
"24","Xele.ptg000001l.27","ReT12","Up-regulated","DeT72","Down-regulated"
"26","Xele.ptg000001l.29","ReT08","Up-regulated","DeT72","Down-regulated"
"27","Xele.ptg000001l.30","None","None","DeT12","Down-regulated"
"28","Xele.ptg000001l.31","ReT08","Up-regulated","DeT03","Down-regulated"
"31","Xele.ptg000001l.34","ReT02","Up-regulated","DeT12","Down-regulated"
"33","Xele.ptg000001l.36","ReT12","Down-regulated","DeT06","Down-regulated"
"34","Xele.ptg000001l.38","ReT08","Up-regulated","DeT09","Down-regulated"
"37","Xele.ptg000001l.41","ReT48","Down-regulated","None","None"
"40","Xele.ptg000001l.44","None","None","DeT12","Up-regulated"
"41","Xele.ptg000001l.45","None","None","DeT06","Up-regulated"
"42","Xele.ptg000001l.46","None","None","DeT12","Down-regulated"
"45","Xele.ptg000001l.49","None","None","DeT12","Down-regulated"
"46","Xele.ptg000001l.50","None","None","DeT09","Down-regulated"
"47","Xele.ptg000001l.51","ReT08","Down-regulated","DeT12","Up-regulated"
"48","Xele.ptg000001l.52","None","None","DeT12","Up-regulated"
"49","Xele.ptg000001l.53","None","None","DeT03","Up-regulated"
"50","Xele.ptg000001l.54","ReT12","Down-regulated","DeT09","Down-regulated"
"51","Xele.ptg000001l.55","ReT02","Up-regulated","DeT12","Down-regulated"
"52","Xele.ptg000001l.58","None","None","DeT03","Up-regulated"
"53","Xele.ptg000001l.59","ReT08","Up-regulated","DeT03","Down-regulated"
"58","Xele.ptg000001l.67","ReT04","Up-regulated","DeT12","Down-regulated"
"61","Xele.ptg000001l.70","ReT08","Down-regulated","None","None"
"64","Xele.ptg000001l.73","ReT04","Up-regulated","DeT12","Down-regulated"
"67","Xele.ptg000001l.77","ReT48","Up-regulated","None","None"
"68","Xele.ptg000001l.78","ReT02","Up-regulated","DeT03","Down-regulated"
"69","Xele.ptg000001l.79","ReT04","Up-regulated","DeT03","Down-regulated"
"70","Xele.ptg000001l.81","ReT02","Up-regulated","DeT09","Down-regulated"
"71","Xele.ptg000001l.82","ReT12","Up-regulated","DeT03","Down-regulated"
"72","Xele.ptg000001l.84","ReT08","Down-regulated","DeT03","Up-regulated"
"73","Xele.ptg000001l.85","ReT08","Down-regulated","DeT03","Up-regulated"
"78","Xele.ptg000001l.90","ReT08","Down-regulated","DeT03","Up-regulated"
"80","Xele.ptg000001l.92","ReT12","Down-regulated","DeT72","Up-regulated"
"81","Xele.ptg000001l.93","ReT48","Up-regulated","DeT12","Down-regulated"
"82","Xele.ptg000001l.94","ReT04","Up-regulated","DeT03","Down-regulated"
"83","Xele.ptg000001l.95","ReT12","Down-regulated","DeT12","Up-regulated"
"86","Xele.ptg000001l.98","ReT08","Down-regulated","DeT03","Up-regulated"
"89","Xele.ptg000001l.102","None","None","DeT72","Up-regulated"
"91","Xele.ptg000001l.104","ReT48","Up-regulated","DeT03","Down-regulated"
"93","Xele.ptg000001l.106","ReT08","Up-regulated","DeT72","Down-regulated"
"94","Xele.ptg000001l.107","ReT08","Down-regulated","DeT12","Up-regulated"
"95","Xele.ptg000001l.108","ReT08","Down-regulated","DeT12","Up-regulated"
"96","Xele.ptg000001l.109","ReT04","Up-regulated","DeT12","Down-regulated"
"97","Xele.ptg000001l.110","None","None","DeT12","Up-regulated"
"98","Xele.ptg000001l.111","ReT08","Down-regulated","DeT03","Up-regulated"
"99","Xele.ptg000001l.112","ReT02","Up-regulated","DeT12","Down-regulated"
"101","Xele.ptg000001l.114","None","None","DeT72","Up-regulated"
"104","Xele.ptg000001l.117","ReT04","Down-regulated","DeT03","Up-regulated"
"108","Xele.ptg000001l.121","ReT12","Down-regulated","DeT03","Up-regulated"
"110","Xele.ptg000001l.123","ReT08","Up-regulated","DeT72","Down-regulated"
"111","Xele.ptg000001l.124","ReT48","Up-regulated","DeT06","Down-regulated"
"115","Xele.ptg000001l.130","None","None","DeT72","Down-regulated"
"117","Xele.ptg000001l.132","ReT02","Up-regulated","DeT12","Down-regulated"
"120","Xele.ptg000001l.138","ReT12","Up-regulated","DeT12","Down-regulated"
"121","Xele.ptg000001l.139","None","None","DeT24","Down-regulated"
"122","Xele.ptg000001l.140","ReT02","Up-regulated","DeT12","Down-regulated"
"123","Xele.ptg000001l.141","ReT02","Up-regulated","DeT12","Down-regulated"
"124","Xele.ptg000001l.142","ReT12","Down-regulated","DeT03","Up-regulated"
"125","Xele.ptg000001l.143","ReT04","Up-regulated","DeT12","Down-regulated"
"127","Xele.ptg000001l.145","ReT12","Down-regulated","DeT12","Up-regulated"
"130","Xele.ptg000001l.148","None","None","DeT12","Down-regulated"
"131","Xele.ptg000001l.149","ReT12","Down-regulated","None","None"
"133","Xele.ptg000001l.151","ReT08","Down-regulated","None","None"
"134","Xele.ptg000001l.154","None","None","DeT15","Down-regulated"
"135","Xele.ptg000001l.155","None","None","DeT12","Down-regulated"
"136","Xele.ptg000001l.158","ReT08","Down-regulated","DeT03","Up-regulated"
"137","Xele.ptg000001l.159","ReT04","Up-regulated","DeT12","Down-regulated"
"141","Xele.ptg000001l.163","ReT04","Up-regulated","DeT12","Down-regulated"
"142","Xele.ptg000001l.164","ReT08","Up-regulated","DeT12","Down-regulated"
"143","Xele.ptg000001l.165","ReT08","Up-regulated","DeT12","Down-regulated"
"147","Xele.ptg000001l.169","ReT12","Up-regulated","DeT12","Down-regulated"
"148","Xele.ptg000001l.170","ReT48","Down-regulated","DeT12","Up-regulated"
"151","Xele.ptg000001l.174","ReT04","Up-regulated","DeT12","Down-regulated"
"152","Xele.ptg000001l.175","ReT02","Up-regulated","DeT06","Up-regulated"
"153","Xele.ptg000001l.176","None","None","DeT24","Down-regulated"
"156","Xele.ptg000001l.179","ReT02","Up-regulated","DeT06","Up-regulated"
"158","Xele.ptg000001l.182","ReT04","Up-regulated","DeT12","Down-regulated"
"160","Xele.ptg000001l.184","ReT08","Down-regulated","DeT72","Up-regulated"
"161","Xele.ptg000001l.185","None","None","DeT12","Up-regulated"
"162","Xele.ptg000001l.186","ReT02","Up-regulated","DeT03","Down-regulated"
"165","Xele.ptg000001l.189","ReT12","Up-regulated","DeT12","Down-regulated"
"166","Xele.ptg000001l.190","ReT04","Up-regulated","DeT15","Down-regulated"
"168","Xele.ptg000001l.192","None","None","DeT06","Up-regulated"
"169","Xele.ptg000001l.193","ReT08","Up-regulated","DeT15","Down-regulated"
"171","Xele.ptg000001l.195","None","None","DeT03","Down-regulated"
"174","Xele.ptg000001l.199","ReT48","Up-regulated","DeT15","Down-regulated"
"177","Xele.ptg000001l.202","ReT04","Down-regulated","DeT03","Up-regulated"
"179","Xele.ptg000001l.204","None","None","DeT12","Up-regulated"
"180","Xele.ptg000001l.205","None","None","DeT12","Down-regulated"
"181","Xele.ptg000001l.206","ReT48","Down-regulated","None","None"
"182","Xele.ptg000001l.207","None","None","DeT12","Down-regulated"
"185","Xele.ptg000001l.210","ReT08","Up-regulated","DeT03","Down-regulated"
"192","Xele.ptg000001l.217","None","None","DeT09","Down-regulated"
"194","Xele.ptg000001l.219","None","None","DeT12","Down-regulated"
"195","Xele.ptg000001l.220","None","None","DeT15","Down-regulated"
"196","Xele.ptg000001l.221","ReT48","Up-regulated","DeT09","Down-regulated"
"199","Xele.ptg000001l.225","ReT12","Down-regulated","None","None"
"200","Xele.ptg000001l.226","None","None","DeT03","Up-regulated"
"201","Xele.ptg000001l.227","ReT12","Down-regulated","None","None"
"207","Xele.ptg000001l.235","ReT12","Down-regulated","DeT03","Up-regulated"
"210","Xele.ptg000001l.239","ReT12","Up-regulated","DeT09","Down-regulated"
"212","Xele.ptg000001l.241","ReT02","Up-regulated","DeT15","Down-regulated"
"213","Xele.ptg000001l.243","ReT08","Down-regulated","None","None"
"215","Xele.ptg000001l.245","ReT12","Up-regulated","DeT03","Down-regulated"
"216","Xele.ptg000001l.246","ReT48","Up-regulated","DeT12","Down-regulated"
"218","Xele.ptg000001l.248","ReT12","Up-regulated","None","None"
"219","Xele.ptg000001l.249","ReT12","Up-regulated","None","None"
"222","Xele.ptg000001l.252","None","None","DeT12","Down-regulated"
"224","Xele.ptg000001l.254","ReT12","Up-regulated","None","None"
"225","Xele.ptg000001l.255","ReT48","Down-regulated","DeT03","Up-regulated"
"226","Xele.ptg000001l.258","ReT08","Up-regulated","DeT03","Down-regulated"
"227","Xele.ptg000001l.259","ReT08","Up-regulated","DeT72","Down-regulated"
"228","Xele.ptg000001l.260","None","None","DeT12","Down-regulated"
"231","Xele.ptg000001l.263","None","None","DeT06","Up-regulated"
"232","Xele.ptg000001l.264","ReT02","Up-regulated","DeT12","Down-regulated"
"234","Xele.ptg000001l.266","ReT08","Down-regulated","DeT72","Up-regulated"
"236","Xele.ptg000001l.268","ReT08","Up-regulated","DeT24","Down-regulated"
"237","Xele.ptg000001l.269","ReT02","Up-regulated","DeT12","Down-regulated"
"239","Xele.ptg000001l.271","ReT48","Up-regulated","DeT72","Down-regulated"
"244","Xele.ptg000001l.277","ReT08","Up-regulated","DeT12","Down-regulated"
"245","Xele.ptg000001l.278","None","None","DeT12","Up-regulated"
"246","Xele.ptg000001l.280","ReT08","Down-regulated","DeT03","Up-regulated"
"247","Xele.ptg000001l.281","ReT02","Up-regulated","None","None"
"248","Xele.ptg000001l.282","ReT08","Up-regulated","DeT12","Down-regulated"
"249","Xele.ptg000001l.283","ReT02","Up-regulated","DeT15","Down-regulated"
"250","Xele.ptg000001l.284","ReT12","Up-regulated","None","None"
"251","Xele.ptg000001l.285","ReT08","Down-regulated","DeT03","Up-regulated"
"252","Xele.ptg000001l.286","None","None","DeT12","Down-regulated"
"253","Xele.ptg000001l.287","None","None","DeT12","Up-regulated"
"254","Xele.ptg000001l.288","ReT48","Down-regulated","DeT12","Up-regulated"
"255","Xele.ptg000001l.289","ReT12","Up-regulated","None","None"
"256","Xele.ptg000001l.290","ReT02","Up-regulated","DeT03","Down-regulated"
"257","Xele.ptg000001l.291","ReT02","Up-regulated","DeT12","Down-regulated"
"258","Xele.ptg000001l.293","ReT02","Up-regulated","DeT12","Down-regulated"
"259","Xele.ptg000001l.294","ReT12","Down-regulated","DeT12","Up-regulated"
"260","Xele.ptg000001l.295","None","None","DeT12","Down-regulated"
"261","Xele.ptg000001l.298","ReT12","Down-regulated","DeT12","Up-regulated"
"262","Xele.ptg000001l.299","ReT12","Down-regulated","DeT72","Up-regulated"
"263","Xele.ptg000001l.300","ReT12","Down-regulated","DeT15","Up-regulated"
"266","Xele.ptg000001l.303","ReT02","Up-regulated","DeT12","Down-regulated"
"270","Xele.ptg000001l.307","ReT12","Up-regulated","DeT24","Down-regulated"
"273","Xele.ptg000001l.311","ReT08","Down-regulated","DeT03","Up-regulated"
"274","Xele.ptg000001l.312","ReT08","Down-regulated","DeT03","Up-regulated"
"275","Xele.ptg000001l.313","ReT02","Down-regulated","DeT03","Up-regulated"
"276","Xele.ptg000001l.314","ReT48","Up-regulated","None","None"
"277","Xele.ptg000001l.316","ReT48","Up-regulated","DeT72","Down-regulated"
"280","Xele.ptg000001l.319","ReT04","Up-regulated","DeT12","Down-regulated"
"281","Xele.ptg000001l.320","ReT08","Up-regulated","DeT12","Down-regulated"
"284","Xele.ptg000001l.325","None","None","DeT03","Down-regulated"
"285","Xele.ptg000001l.327","None","None","DeT03","Up-regulated"
"289","Xele.ptg000001l.331","ReT08","Down-regulated","DeT12","Up-regulated"
"290","Xele.ptg000001l.332","ReT12","Down-regulated","None","None"
"297","Xele.ptg000001l.341","None","None","DeT09","Up-regulated"
"299","Xele.ptg000001l.344","ReT48","Down-regulated","None","None"
"303","Xele.ptg000001l.349","ReT08","Down-regulated","DeT03","Up-regulated"
"304","Xele.ptg000001l.351","ReT12","Down-regulated","DeT03","Up-regulated"
"305","Xele.ptg000001l.352","None","None","DeT03","Down-regulated"
"308","Xele.ptg000001l.363","ReT12","Down-regulated","DeT09","Up-regulated"
"309","Xele.ptg000001l.364","ReT04","Up-regulated","DeT03","Up-regulated"
"313","Xele.ptg000001l.368","ReT48","Up-regulated","DeT72","Down-regulated"
"319","Xele.ptg000001l.377","ReT04","Up-regulated","DeT03","Down-regulated"
"321","Xele.ptg000001l.381","ReT12","Down-regulated","DeT12","Up-regulated"
"323","Xele.ptg000001l.384","None","None","DeT12","Up-regulated"
"327","Xele.ptg000001l.388","ReT08","Down-regulated","DeT12","Up-regulated"
"329","Xele.ptg000001l.392","None","None","DeT72","Down-regulated"
"338","Xele.ptg000001l.406","ReT04","Up-regulated","DeT12","Down-regulated"
"341","Xele.ptg000001l.409","ReT12","Up-regulated","DeT72","Down-regulated"
"342","Xele.ptg000001l.419","None","None","DeT03","Down-regulated"
"344","Xele.ptg000001l.423","ReT12","Up-regulated","DeT24","Down-regulated"
"346","Xele.ptg000001l.426","None","None","DeT12","Up-regulated"
"347","Xele.ptg000001l.427","ReT08","Down-regulated","DeT12","Up-regulated"
"348","Xele.ptg000001l.429","ReT08","Down-regulated","DeT03","Up-regulated"
"349","Xele.ptg000001l.430","ReT08","Down-regulated","DeT09","Up-regulated"
"351","Xele.ptg000001l.438","ReT12","Down-regulated","None","None"
"353","Xele.ptg000001l.453","None","None","DeT03","Up-regulated"
"354","Xele.ptg000001l.457","ReT48","Up-regulated","DeT09","Up-regulated"
"355","Xele.ptg000001l.462","ReT48","Up-regulated","DeT06","Up-regulated"
"356","Xele.ptg000001l.464","ReT48","Up-regulated","DeT72","Down-regulated"
"358","Xele.ptg000001l.468","ReT48","Up-regulated","None","None"
"360","Xele.ptg000001l.470","None","None","DeT15","Up-regulated"
"364","Xele.ptg000001l.485","None","None","DeT03","Up-regulated"
"365","Xele.ptg000001l.486","ReT08","Up-regulated","DeT24","Down-regulated"
"366","Xele.ptg000001l.487","ReT08","Up-regulated","DeT03","Down-regulated"
"369","Xele.ptg000001l.490","ReT02","Up-regulated","DeT12","Down-regulated"
"370","Xele.ptg000001l.491","ReT02","Up-regulated","DeT06","Up-regulated"
"371","Xele.ptg000001l.494","None","None","DeT03","Up-regulated"
"372","Xele.ptg000001l.496","ReT08","Up-regulated","DeT03","Up-regulated"
"373","Xele.ptg000001l.497","ReT02","Up-regulated","DeT06","Up-regulated"
"374","Xele.ptg000001l.501","ReT02","Up-regulated","DeT06","Up-regulated"
"376","Xele.ptg000001l.504","ReT48","Up-regulated","None","None"
"378","Xele.ptg000001l.506","None","None","DeT06","Up-regulated"
"380","Xele.ptg000001l.508","None","None","DeT72","Down-regulated"
"381","Xele.ptg000001l.509","ReT12","Down-regulated","None","None"
"387","Xele.ptg000001l.520","ReT48","Down-regulated","None","None"
"388","Xele.ptg000001l.521","ReT48","Down-regulated","DeT12","Down-regulated"
"389","Xele.ptg000001l.522","ReT04","Up-regulated","DeT72","Down-regulated"
"391","Xele.ptg000001l.524","None","None","DeT03","Up-regulated"
"393","Xele.ptg000001l.526","ReT12","Down-regulated","DeT15","Up-regulated"
"398","Xele.ptg000001l.531","None","None","DeT15","Down-regulated"
"399","Xele.ptg000001l.532","None","None","DeT15","Down-regulated"
"402","Xele.ptg000001l.535","None","None","DeT09","Down-regulated"
"408","Xele.ptg000001l.542","None","None","DeT03","Up-regulated"
"409","Xele.ptg000001l.543","None","None","DeT03","Up-regulated"
"410","Xele.ptg000001l.544","ReT04","Up-regulated","DeT03","Down-regulated"
"411","Xele.ptg000001l.545","None","None","DeT09","Down-regulated"
"414","Xele.ptg000001l.548","None","None","DeT72","Down-regulated"
"416","Xele.ptg000001l.552","ReT08","Down-regulated","DeT03","Up-regulated"
"417","Xele.ptg000001l.553","ReT04","Down-regulated","DeT03","Up-regulated"
"418","Xele.ptg000001l.554","None","None","DeT03","Down-regulated"
"420","Xele.ptg000001l.556","ReT12","Up-regulated","None","None"
"421","Xele.ptg000001l.557","ReT04","Up-regulated","DeT72","Down-regulated"
"423","Xele.ptg000001l.560","ReT12","Down-regulated","None","None"
"425","Xele.ptg000001l.562","ReT08","Up-regulated","DeT12","Down-regulated"
"426","Xele.ptg000001l.563","None","None","DeT03","Up-regulated"
"427","Xele.ptg000001l.564","None","None","DeT12","Down-regulated"
"428","Xele.ptg000001l.565","ReT12","Up-regulated","DeT03","Up-regulated"
"429","Xele.ptg000001l.567","ReT08","Down-regulated","DeT72","Up-regulated"
"431","Xele.ptg000001l.569","None","None","DeT24","Down-regulated"
"432","Xele.ptg000001l.570","ReT12","Down-regulated","DeT03","Up-regulated"
"433","Xele.ptg000001l.571","ReT08","Up-regulated","DeT12","Down-regulated"
"435","Xele.ptg000001l.573","ReT02","Up-regulated","DeT24","Down-regulated"
"437","Xele.ptg000001l.575","None","None","DeT09","Up-regulated"
"438","Xele.ptg000001l.576","ReT12","Up-regulated","DeT72","Down-regulated"
"440","Xele.ptg000001l.578","ReT12","Down-regulated","DeT15","Up-regulated"
"441","Xele.ptg000001l.579","None","None","DeT12","Down-regulated"
"443","Xele.ptg000001l.581","ReT04","Up-regulated","DeT06","Up-regulated"
"444","Xele.ptg000001l.582","ReT08","Up-regulated","DeT06","Up-regulated"
"445","Xele.ptg000001l.583","ReT08","Up-regulated","DeT12","Down-regulated"
"448","Xele.ptg000001l.586","ReT08","Up-regulated","DeT12","Down-regulated"
"452","Xele.ptg000001l.590","None","None","DeT09","Down-regulated"
"453","Xele.ptg000001l.591","None","None","DeT15","Down-regulated"
"455","Xele.ptg000001l.593","None","None","DeT12","Up-regulated"
"456","Xele.ptg000001l.594","None","None","DeT12","Down-regulated"
"457","Xele.ptg000001l.595","None","None","DeT03","Down-regulated"
"458","Xele.ptg000001l.596","ReT04","Up-regulated","DeT12","Down-regulated"
"460","Xele.ptg000001l.598","None","None","DeT24","Up-regulated"
"462","Xele.ptg000001l.600","ReT08","Down-regulated","DeT12","Up-regulated"
"463","Xele.ptg000001l.601","ReT12","Down-regulated","DeT03","Up-regulated"
"467","Xele.ptg000001l.605","ReT48","Down-regulated","DeT24","Up-regulated"
"471","Xele.ptg000001l.609","None","None","DeT12","Down-regulated"
"472","Xele.ptg000001l.610","ReT08","Down-regulated","None","None"
"473","Xele.ptg000001l.611","None","None","DeT24","Down-regulated"
"474","Xele.ptg000001l.615","None","None","DeT12","Down-regulated"
"475","Xele.ptg000001l.617","ReT08","Up-regulated","DeT12","Down-regulated"
"476","Xele.ptg000001l.619","ReT12","Down-regulated","DeT03","Up-regulated"
"478","Xele.ptg000001l.621","ReT02","Up-regulated","DeT15","Down-regulated"
"481","Xele.ptg000001l.624","ReT12","Down-regulated","DeT12","Up-regulated"
"483","Xele.ptg000001l.627","ReT02","Up-regulated","DeT12","Down-regulated"
"484","Xele.ptg000001l.628","ReT08","Up-regulated","DeT72","Down-regulated"
"485","Xele.ptg000001l.631","None","None","DeT12","Down-regulated"
"493","Xele.ptg000001l.639","None","None","DeT12","Down-regulated"
"494","Xele.ptg000001l.640","ReT12","Up-regulated","DeT03","Up-regulated"
"496","Xele.ptg000001l.642","ReT12","Down-regulated","DeT72","Up-regulated"
"499","Xele.ptg000001l.645","None","None","DeT72","Up-regulated"
"500","Xele.ptg000001l.646","None","None","DeT06","Up-regulated"
"502","Xele.ptg000001l.648","ReT48","Up-regulated","DeT12","Up-regulated"
"504","Xele.ptg000001l.650","ReT12","Up-regulated","DeT12","Down-regulated"
"505","Xele.ptg000001l.651","None","None","DeT03","Up-regulated"
"510","Xele.ptg000001l.657","ReT04","Up-regulated","DeT12","Down-regulated"
"513","Xele.ptg000002l.1","ReT08","Up-regulated","DeT12","Down-regulated"
"514","Xele.ptg000002l.2","None","None","DeT12","Down-regulated"
"518","Xele.ptg000002l.7","ReT48","Up-regulated","None","None"
"522","Xele.ptg000002l.12","None","None","DeT12","Up-regulated"
"523","Xele.ptg000002l.13","ReT12","Down-regulated","DeT12","Up-regulated"
"524","Xele.ptg000002l.14","ReT12","Down-regulated","DeT03","Up-regulated"
"525","Xele.ptg000002l.15","None","None","DeT12","Up-regulated"
"526","Xele.ptg000002l.16","ReT08","Down-regulated","DeT12","Up-regulated"
"529","Xele.ptg000002l.20","None","None","DeT15","Down-regulated"
"530","Xele.ptg000002l.21","ReT12","Up-regulated","DeT12","Down-regulated"
"531","Xele.ptg000002l.22","ReT48","Down-regulated","None","None"
"532","Xele.ptg000002l.23","ReT12","Up-regulated","None","None"
"537","Xele.ptg000002l.29","ReT02","Up-regulated","DeT15","Down-regulated"
"538","Xele.ptg000002l.30","ReT12","Up-regulated","None","None"
"539","Xele.ptg000002l.31","None","None","DeT24","Down-regulated"
"540","Xele.ptg000002l.32","ReT08","Down-regulated","DeT72","Up-regulated"
"544","Xele.ptg000002l.36","ReT48","Up-regulated","DeT24","Down-regulated"
"545","Xele.ptg000002l.38","None","None","DeT03","Up-regulated"
"549","Xele.ptg000002l.43","None","None","DeT09","Down-regulated"
"551","Xele.ptg000002l.45","ReT08","Up-regulated","DeT03","Down-regulated"
"552","Xele.ptg000002l.46","None","None","DeT09","Down-regulated"
"553","Xele.ptg000002l.47","ReT02","Up-regulated","DeT72","Down-regulated"
"554","Xele.ptg000002l.48","None","None","DeT24","Down-regulated"
"556","Xele.ptg000002l.50","ReT12","Down-regulated","DeT03","Up-regulated"
"557","Xele.ptg000002l.51","None","None","DeT12","Up-regulated"
"559","Xele.ptg000002l.54","ReT04","Up-regulated","DeT12","Down-regulated"
"560","Xele.ptg000002l.55","None","None","DeT03","Up-regulated"
"561","Xele.ptg000002l.57","ReT08","Up-regulated","DeT24","Down-regulated"
"562","Xele.ptg000002l.58","None","None","DeT09","Down-regulated"
"563","Xele.ptg000002l.59","None","None","DeT12","Down-regulated"
"564","Xele.ptg000002l.60","ReT48","Down-regulated","None","None"
"565","Xele.ptg000002l.61","None","None","DeT09","Down-regulated"
"566","Xele.ptg000002l.62","ReT12","Down-regulated","DeT09","Down-regulated"
"567","Xele.ptg000002l.63","ReT04","Up-regulated","DeT09","Down-regulated"
"568","Xele.ptg000002l.64","None","None","DeT03","Up-regulated"
"570","Xele.ptg000002l.66","ReT08","Down-regulated","DeT03","Up-regulated"
"571","Xele.ptg000002l.67","ReT08","Up-regulated","DeT03","Down-regulated"
"572","Xele.ptg000002l.69","ReT04","Up-regulated","DeT12","Down-regulated"
"575","Xele.ptg000002l.72","None","None","DeT12","Down-regulated"
"576","Xele.ptg000002l.73","ReT08","Up-regulated","DeT12","Down-regulated"
"577","Xele.ptg000002l.74","None","None","DeT12","Up-regulated"
"578","Xele.ptg000002l.79","ReT48","Up-regulated","DeT12","Up-regulated"
"579","Xele.ptg000002l.80","ReT02","Up-regulated","None","None"
"581","Xele.ptg000002l.84","ReT48","Up-regulated","DeT06","Down-regulated"
"583","Xele.ptg000002l.86","ReT08","Up-regulated","None","None"
"584","Xele.ptg000002l.87_NEW","ReT04","Up-regulated","None","None"
"585","Xele.ptg000002l.87_B_NEW","ReT08","Up-regulated","DeT15","Down-regulated"
"586","Xele.ptg000002l.89","None","None","DeT72","Down-regulated"
"592","Xele.ptg000002l.95","None","None","DeT03","Up-regulated"
"594","Xele.ptg000002l.97","ReT08","Down-regulated","None","None"
"596","Xele.ptg000002l.99","ReT08","Up-regulated","DeT12","Down-regulated"
"597","Xele.ptg000002l.100","ReT12","Down-regulated","DeT03","Up-regulated"
"598","Xele.ptg000002l.101","ReT48","Up-regulated","None","None"
"599","Xele.ptg000002l.102","ReT48","Up-regulated","None","None"
"602","Xele.ptg000002l.105","ReT12","Up-regulated","DeT15","Down-regulated"
"603","Xele.ptg000002l.106","ReT04","Up-regulated","DeT12","Down-regulated"
"605","Xele.ptg000002l.108","ReT12","Down-regulated","DeT09","Down-regulated"
"606","Xele.ptg000002l.109","ReT12","Up-regulated","DeT72","Down-regulated"
"607","Xele.ptg000002l.110","None","None","DeT12","Down-regulated"
"610","Xele.ptg000002l.113","ReT12","Down-regulated","None","None"
"611","Xele.ptg000002l.118","ReT04","Up-regulated","DeT12","Down-regulated"
"612","Xele.ptg000002l.119","None","None","DeT12","Down-regulated"
"613","Xele.ptg000002l.121","ReT12","Up-regulated","DeT72","Down-regulated"
"614","Xele.ptg000002l.122","ReT02","Up-regulated","DeT12","Down-regulated"
"617","Xele.ptg000002l.125","None","None","DeT09","Down-regulated"
"619","Xele.ptg000002l.127","ReT08","Up-regulated","None","None"
"626","Xele.ptg000002l.137","ReT04","Up-regulated","DeT15","Down-regulated"
"628","Xele.ptg000002l.139","ReT48","Up-regulated","DeT15","Down-regulated"
"630","Xele.ptg000002l.142","ReT12","Up-regulated","DeT12","Down-regulated"
"631","Xele.ptg000002l.143","ReT08","Down-regulated","DeT03","Up-regulated"
"632","Xele.ptg000002l.144","None","None","DeT06","Up-regulated"
"633","Xele.ptg000002l.145","ReT04","Up-regulated","DeT12","Down-regulated"
"635","Xele.ptg000002l.148","ReT12","Down-regulated","DeT72","Up-regulated"
"636","Xele.ptg000002l.149","ReT08","Down-regulated","DeT03","Up-regulated"
"638","Xele.ptg000002l.151","ReT08","Up-regulated","DeT12","Down-regulated"
"639","Xele.ptg000002l.152","ReT08","Down-regulated","DeT12","Up-regulated"
"640","Xele.ptg000002l.153","ReT12","Down-regulated","None","None"
"641","Xele.ptg000002l.154","ReT08","Down-regulated","DeT03","Up-regulated"
"642","Xele.ptg000002l.155","ReT48","Up-regulated","None","None"
"643","Xele.ptg000002l.156","ReT04","Up-regulated","DeT12","Down-regulated"
"646","Xele.ptg000002l.160","ReT12","Down-regulated","DeT15","Up-regulated"
"647","Xele.ptg000002l.162","ReT04","Up-regulated","DeT12","Down-regulated"
"648","Xele.ptg000002l.163","None","None","DeT72","Down-regulated"
"653","Xele.ptg000002l.169","ReT48","Up-regulated","DeT72","Down-regulated"
"654","Xele.ptg000002l.170","ReT12","Up-regulated","DeT03","Down-regulated"
"655","Xele.ptg000002l.171","ReT08","Up-regulated","DeT03","Down-regulated"
"656","Xele.ptg000002l.173","None","None","DeT03","Up-regulated"
"660","Xele.ptg000002l.179","ReT12","Up-regulated","DeT12","Down-regulated"
"661","Xele.ptg000002l.180","None","None","DeT12","Up-regulated"
"662","Xele.ptg000002l.181","ReT48","Down-regulated","DeT72","Up-regulated"
"663","Xele.ptg000002l.182","None","None","DeT12","Down-regulated"
"664","Xele.ptg000002l.183","ReT08","Up-regulated","DeT15","Down-regulated"
"665","Xele.ptg000002l.188","ReT48","Up-regulated","DeT72","Down-regulated"
"666","Xele.ptg000002l.189","ReT12","Up-regulated","DeT03","Up-regulated"
"667","Xele.ptg000002l.190","ReT48","Down-regulated","DeT03","Up-regulated"
"668","Xele.ptg000002l.191","ReT12","Down-regulated","DeT12","Up-regulated"
"669","Xele.ptg000002l.192","ReT04","Up-regulated","DeT15","Down-regulated"
