"","Genes","Re_Set","Re_direction","De_Set","De_direction"
"14874","Xele.ptg000027l.185","ReT04","Down-regulated","DeT03","Up-regulated"
"14877","Xele.ptg000027l.188","None","None","DeT12","Down-regulated"
"14879","Xele.ptg000027l.190","ReT12","Down-regulated","DeT09","Up-regulated"
"14881","Xele.ptg000027l.192","None","None","DeT09","Down-regulated"
"14882","Xele.ptg000027l.193","ReT04","Up-regulated","DeT12","Down-regulated"
"14892","Xele.ptg000027l.209","None","None","DeT03","Up-regulated"
"14893","Xele.ptg000027l.211","None","None","DeT09","Down-regulated"
"14894","Xele.ptg000027l.212","ReT12","Up-regulated","DeT12","Down-regulated"
"14896","Xele.ptg000027l.214","ReT04","Up-regulated","DeT72","Down-regulated"
"14897","Xele.ptg000027l.215","ReT04","Up-regulated","DeT12","Down-regulated"
"14899","Xele.ptg000027l.217","None","None","DeT12","Up-regulated"
"14902","Xele.ptg000027l.220","ReT12","Up-regulated","DeT06","Down-regulated"
"14903","Xele.ptg000027l.221","ReT08","Up-regulated","DeT24","Down-regulated"
"14904","Xele.ptg000027l.222","ReT08","Down-regulated","DeT03","Up-regulated"
"14905","Xele.ptg000027l.223","None","None","DeT09","Down-regulated"
"14908","Xele.ptg000027l.226","None","None","DeT03","Down-regulated"
"14909","Xele.ptg000027l.227","ReT12","Up-regulated","DeT24","Down-regulated"
"14910","Xele.ptg000027l.229","ReT02","Down-regulated","DeT03","Up-regulated"
"14911","Xele.ptg000027l.230","ReT08","Down-regulated","DeT03","Up-regulated"
"14912","Xele.ptg000027l.233","ReT08","Down-regulated","DeT12","Up-regulated"
"14913","Xele.ptg000027l.234","ReT02","Up-regulated","DeT12","Down-regulated"
"14915","Xele.ptg000027l.237","ReT08","Down-regulated","None","None"
"14916","Xele.ptg000027l.238","ReT02","Up-regulated","DeT12","Down-regulated"
"14917","Xele.ptg000027l.239","None","None","DeT12","Down-regulated"
"14919","Xele.ptg000027l.241","ReT08","Down-regulated","DeT03","Up-regulated"
"14920","Xele.ptg000027l.242","ReT08","Down-regulated","DeT15","Up-regulated"
"14923","Xele.ptg000027l.246","ReT48","Up-regulated","DeT72","Down-regulated"
"14924","Xele.ptg000027l.247","ReT12","Up-regulated","DeT72","Down-regulated"
"14926","Xele.ptg000027l.249","None","None","DeT12","Down-regulated"
"14928","Xele.ptg000027l.251","ReT04","Up-regulated","DeT03","Down-regulated"
"14929","Xele.ptg000027l.252","ReT04","Up-regulated","DeT03","Up-regulated"
"14930","Xele.ptg000027l.253","ReT12","Down-regulated","DeT03","Up-regulated"
"14931","Xele.ptg000027l.254","ReT48","Up-regulated","DeT24","Down-regulated"
"14932","Xele.ptg000027l.255","ReT04","Up-regulated","DeT12","Down-regulated"
"14933","Xele.ptg000027l.256","None","None","DeT12","Down-regulated"
"14934","Xele.ptg000027l.257","None","None","DeT12","Up-regulated"
"14937","Xele.ptg000027l.260","None","None","DeT12","Down-regulated"
"14939","Xele.ptg000027l.266","ReT12","Up-regulated","DeT12","Down-regulated"
"14940","Xele.ptg000027l.267","ReT08","Down-regulated","DeT12","Up-regulated"
"14942","Xele.ptg000027l.269","ReT12","Down-regulated","DeT12","Up-regulated"
"14944","Xele.ptg000027l.271","ReT08","Up-regulated","DeT72","Down-regulated"
"14947","Xele.ptg000027l.274","ReT48","Up-regulated","DeT24","Down-regulated"
"14948","Xele.ptg000027l.275","ReT48","Down-regulated","None","None"
"14950","Xele.ptg000027l.279","ReT12","Down-regulated","DeT03","Up-regulated"
"14951","Xele.ptg000027l.280","ReT04","Up-regulated","DeT12","Down-regulated"
"14952","Xele.ptg000027l.281","ReT08","Down-regulated","DeT03","Up-regulated"
"14954","Xele.ptg000027l.283","None","None","DeT03","Up-regulated"
"14956","Xele.ptg000027l.285","ReT04","Up-regulated","DeT03","Up-regulated"
"14957","Xele.ptg000027l.286","ReT12","Up-regulated","DeT12","Down-regulated"
"14962","Xele.ptg000027l.298","ReT12","Down-regulated","DeT12","Up-regulated"
"14965","Xele.ptg000027l.302","None","None","DeT12","Down-regulated"
"14966","Xele.ptg000027l.304","ReT02","Up-regulated","DeT03","Down-regulated"
"14970","Xele.ptg000027l.314","ReT02","Up-regulated","None","None"
"14971","Xele.ptg000027l.315","ReT08","Up-regulated","DeT06","Up-regulated"
"14972","Xele.ptg000027l.316","ReT08","Down-regulated","DeT15","Up-regulated"
"14974","Xele.ptg000027l.319","ReT08","Down-regulated","DeT12","Up-regulated"
"14975","Xele.ptg000027l.320","None","None","DeT09","Up-regulated"
"14977","Xele.ptg000027l.323","ReT12","Up-regulated","DeT15","Down-regulated"
"14980","Xele.ptg000027l.326","ReT48","Up-regulated","DeT09","Down-regulated"
"14982","Xele.ptg000027l.328","ReT04","Down-regulated","DeT03","Up-regulated"
"14983","Xele.ptg000027l.329","ReT04","Down-regulated","DeT03","Up-regulated"
"14985","Xele.ptg000027l.334","ReT08","Down-regulated","None","None"
"14989","Xele.ptg000027l.340","ReT08","Up-regulated","DeT12","Down-regulated"
"14991","Xele.ptg000027l.343","None","None","DeT72","Down-regulated"
"14992","Xele.ptg000027l.344","None","None","DeT03","Down-regulated"
"14994","Xele.ptg000027l.350","ReT12","Down-regulated","DeT03","Up-regulated"
"14995","Xele.ptg000027l.351","ReT12","Down-regulated","DeT12","Up-regulated"
"15000","Xele.ptg000027l.356","ReT04","Down-regulated","DeT03","Up-regulated"
"15003","Xele.ptg000027l.359","None","None","DeT12","Down-regulated"
"15004","Xele.ptg000027l.361","ReT08","Up-regulated","None","None"
"15005","Xele.ptg000027l.362","ReT04","Up-regulated","DeT72","Down-regulated"
"15006","Xele.ptg000027l.363","ReT08","Down-regulated","DeT03","Up-regulated"
"15011","Xele.ptg000027l.371","ReT08","Down-regulated","DeT03","Up-regulated"
"15014","Xele.ptg000027l.374","ReT04","Down-regulated","DeT03","Up-regulated"
"15015","Xele.ptg000027l.377","ReT08","Down-regulated","DeT03","Up-regulated"
"15016","Xele.ptg000027l.378","ReT08","Down-regulated","DeT12","Up-regulated"
"15017","Xele.ptg000027l.379","ReT08","Up-regulated","DeT12","Down-regulated"
"15018","Xele.ptg000027l.381","None","None","DeT12","Down-regulated"
"15019","Xele.ptg000027l.382","ReT04","Up-regulated","DeT12","Down-regulated"
"15020","Xele.ptg000027l.383","None","None","DeT12","Down-regulated"
"15022","Xele.ptg000027l.385","ReT48","Down-regulated","DeT03","Up-regulated"
"15023","Xele.ptg000027l.386","None","None","DeT12","Up-regulated"
"15025","Xele.ptg000027l.392","ReT08","Down-regulated","DeT06","Down-regulated"
"15026","Xele.ptg000027l.395","ReT12","Down-regulated","None","None"
"15027","Xele.ptg000027l.396","ReT12","Down-regulated","DeT72","Up-regulated"
"15028","Xele.ptg000027l.398","ReT04","Up-regulated","DeT72","Down-regulated"
"15030","Xele.ptg000027l.400","ReT12","Up-regulated","DeT15","Down-regulated"
"15031","Xele.ptg000027l.402","None","None","DeT15","Up-regulated"
"15034","Xele.ptg000027l.405","ReT12","Up-regulated","None","None"
"15036","Xele.ptg000027l.408","ReT08","Up-regulated","DeT72","Down-regulated"
"15037","Xele.ptg000027l.410","ReT12","Up-regulated","None","None"
"15038","Xele.ptg000027l.414","ReT02","Up-regulated","DeT15","Down-regulated"
"15039","Xele.ptg000027l.415","ReT12","Up-regulated","DeT03","Down-regulated"
"15042","Xele.ptg000027l.418","ReT08","Up-regulated","None","None"
"15043","Xele.ptg000027l.419","ReT12","Up-regulated","None","None"
"15044","Xele.ptg000027l.420","ReT48","Up-regulated","DeT06","Down-regulated"
"15045","Xele.ptg000027l.422","ReT08","Down-regulated","DeT12","Up-regulated"
"15048","Xele.ptg000027l.428","ReT08","Up-regulated","DeT12","Down-regulated"
"15050","Xele.ptg000027l.432","ReT04","Up-regulated","DeT09","Down-regulated"
"15052","Xele.ptg000027l.434","ReT08","Up-regulated","DeT72","Down-regulated"
"15054","Xele.ptg000027l.439","ReT48","Down-regulated","DeT03","Down-regulated"
"15057","Xele.ptg000027l.444","ReT12","Down-regulated","DeT12","Up-regulated"
"15058","Xele.ptg000027l.445","ReT08","Down-regulated","DeT72","Down-regulated"
"15059","Xele.ptg000027l.446","ReT48","Down-regulated","DeT12","Up-regulated"
"15067","Xele.ptg000027l.454","None","None","DeT72","Down-regulated"
"15068","Xele.ptg000027l.456","None","None","DeT09","Down-regulated"
"15069","Xele.ptg000027l.457","ReT04","Up-regulated","DeT09","Down-regulated"
"15072","Xele.ptg000027l.460","ReT08","Down-regulated","DeT03","Up-regulated"
"15073","Xele.ptg000027l.461","None","None","DeT12","Up-regulated"
"15074","Xele.ptg000027l.462","None","None","DeT09","Up-regulated"
"15075","Xele.ptg000027l.463","ReT48","Down-regulated","DeT06","Down-regulated"
"15076","Xele.ptg000027l.464","ReT04","Up-regulated","DeT12","Down-regulated"
"15077","Xele.ptg000027l.465","ReT48","Up-regulated","DeT72","Down-regulated"
"15081","Xele.ptg000027l.471","ReT04","Up-regulated","DeT15","Down-regulated"
"15082","Xele.ptg000027l.472","None","None","DeT03","Down-regulated"
"15084","Xele.ptg000027l.474","ReT04","Down-regulated","DeT12","Up-regulated"
"15085","Xele.ptg000027l.475","ReT08","Down-regulated","DeT09","Down-regulated"
"15090","Xele.ptg000027l.481","ReT04","Up-regulated","DeT12","Down-regulated"
"15091","Xele.ptg000027l.482","ReT08","Up-regulated","DeT72","Down-regulated"
"15092","Xele.ptg000027l.483","None","None","DeT72","Up-regulated"
"15093","Xele.ptg000027l.484","ReT08","Up-regulated","DeT12","Down-regulated"
"15094","Xele.ptg000027l.485","ReT08","Up-regulated","DeT12","Down-regulated"
"15096","Xele.ptg000027l.487","ReT04","Up-regulated","DeT03","Up-regulated"
"15097","Xele.ptg000027l.488","ReT12","Up-regulated","DeT12","Down-regulated"
"15099","Xele.ptg000027l.490","None","None","DeT24","Down-regulated"
"15100","Xele.ptg000027l.491","None","None","DeT06","Down-regulated"
"15101","Xele.ptg000027l.494","ReT08","Up-regulated","DeT12","Down-regulated"
"15104","Xele.ptg000027l.497","None","None","DeT12","Down-regulated"
"15106","Xele.ptg000027l.499","None","None","DeT72","Down-regulated"
"15107","Xele.ptg000027l.500","None","None","DeT12","Down-regulated"
"15108","Xele.ptg000027l.502","ReT48","Up-regulated","DeT06","Down-regulated"
"15109","Xele.ptg000027l.503","ReT48","Down-regulated","DeT72","Up-regulated"
"15111","Xele.ptg000027l.505","ReT04","Up-regulated","DeT03","Down-regulated"
"15114","Xele.ptg000027l.509","ReT48","Down-regulated","DeT72","Up-regulated"
"15115","Xele.ptg000027l.510","None","None","DeT12","Up-regulated"
"15117","Xele.ptg000027l.512","ReT08","Up-regulated","None","None"
"15119","Xele.ptg000027l.514","ReT08","Down-regulated","DeT12","Up-regulated"
"15122","Xele.ptg000027l.518","ReT04","Up-regulated","DeT12","Down-regulated"
"15124","Xele.ptg000027l.520","None","None","DeT03","Up-regulated"
"15125","Xele.ptg000027l.521","ReT08","Up-regulated","DeT15","Down-regulated"
"15127","Xele.ptg000027l.523","ReT08","Down-regulated","DeT03","Down-regulated"
"15128","Xele.ptg000027l.524","ReT08","Down-regulated","DeT72","Up-regulated"
"15129","Xele.ptg000027l.525","ReT08","Down-regulated","DeT12","Up-regulated"
"15131","Xele.ptg000027l.528","ReT04","Down-regulated","DeT03","Up-regulated"
"15133","Xele.ptg000027l.532","ReT04","Up-regulated","DeT03","Down-regulated"
"15135","Xele.ptg000027l.534","ReT02","Up-regulated","DeT03","Down-regulated"
"15136","Xele.ptg000027l.535","ReT48","Up-regulated","DeT06","Down-regulated"
"15139","Xele.ptg000027l.538","ReT48","Up-regulated","DeT72","Down-regulated"
"15140","Xele.ptg000027l.539","None","None","DeT72","Down-regulated"
"15141","Xele.ptg000027l.540","ReT04","Up-regulated","DeT12","Down-regulated"
"15142","Xele.ptg000027l.542","ReT08","Down-regulated","None","None"
"15143","Xele.ptg000027l.543","ReT08","Down-regulated","DeT03","Up-regulated"
"15144","Xele.ptg000027l.544","ReT08","Down-regulated","DeT03","Up-regulated"
"15145","Xele.ptg000027l.545","ReT48","Up-regulated","DeT24","Down-regulated"
"15146","Xele.ptg000027l.546","ReT04","Up-regulated","DeT03","Down-regulated"
"15147","Xele.ptg000027l.547","None","None","DeT12","Down-regulated"
"15148","Xele.ptg000027l.548","None","None","DeT03","Up-regulated"
"15149","Xele.ptg000027l.551","ReT08","Up-regulated","DeT72","Down-regulated"
"15154","Xele.ptg000027l.556","None","None","DeT06","Up-regulated"
"15156","Xele.ptg000027l.559","ReT08","Up-regulated","None","None"
"15157","Xele.ptg000027l.560","None","None","DeT72","Down-regulated"
"15159","Xele.ptg000027l.562","None","None","DeT12","Down-regulated"
"15161","Xele.ptg000027l.566","None","None","DeT03","Up-regulated"
"15163","Xele.ptg000027l.568","ReT08","Up-regulated","DeT03","Down-regulated"
"15164","Xele.ptg000027l.569","ReT02","Up-regulated","DeT12","Down-regulated"
"15165","Xele.ptg000027l.570","ReT48","Up-regulated","DeT09","Down-regulated"
"15166","Xele.ptg000027l.571","ReT12","Down-regulated","DeT03","Up-regulated"
"15167","Xele.ptg000027l.572","ReT12","Up-regulated","None","None"
"15168","Xele.ptg000027l.573","ReT08","Down-regulated","DeT12","Up-regulated"
"15169","Xele.ptg000027l.574","ReT08","Down-regulated","DeT03","Up-regulated"
"15170","Xele.ptg000027l.575","ReT04","Up-regulated","DeT12","Down-regulated"
"15171","Xele.ptg000027l.576","None","None","DeT72","Up-regulated"
"15172","Xele.ptg000027l.577","ReT12","Down-regulated","DeT06","Down-regulated"
"15173","Xele.ptg000027l.578","ReT04","Down-regulated","DeT03","Up-regulated"
"15178","Xele.ptg000027l.586","None","None","DeT03","Up-regulated"
"15179","Xele.ptg000027l.587","ReT04","Up-regulated","DeT12","Down-regulated"
"15180","Xele.ptg000027l.589","ReT02","Up-regulated","DeT09","Down-regulated"
"15181","Xele.ptg000027l.591","ReT08","Up-regulated","DeT12","Down-regulated"
"15182","Xele.ptg000027l.594","ReT02","Up-regulated","None","None"
"15184","Xele.ptg000027l.597","ReT48","Up-regulated","DeT12","Down-regulated"
"15188","Xele.ptg000027l.601","ReT12","Up-regulated","DeT15","Down-regulated"
"15189","Xele.ptg000027l.603","ReT08","Up-regulated","DeT15","Down-regulated"
"15192","Xele.ptg000027l.607","ReT48","Up-regulated","DeT12","Down-regulated"
"15194","Xele.ptg000027l.609","ReT48","Up-regulated","DeT24","Down-regulated"
"15195","Xele.ptg000027l.612","ReT04","Up-regulated","DeT15","Down-regulated"
"15198","Xele.ptg000027l.615","None","None","DeT09","Down-regulated"
"15202","Xele.ptg000027l.619","ReT08","Down-regulated","DeT03","Up-regulated"
"15203","Xele.ptg000027l.620","None","None","DeT09","Up-regulated"
"15205","Xele.ptg000027l.623","ReT08","Up-regulated","DeT12","Down-regulated"
"15207","Xele.ptg000027l.625","None","None","DeT12","Down-regulated"
"15209","Xele.ptg000027l.628","None","None","DeT15","Up-regulated"
"15210","Xele.ptg000027l.629","ReT12","Down-regulated","DeT03","Up-regulated"
